,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_lw,fit_pv,fit_skew
0,29000,600,3000.0,-40,0.710430460578428,2.5635157277249788e-05,3.6332350068583446e-05,9.991860038599316e-06,1.629428374888679e-05,0.9425232139949198,-519.671309593811
1,29000,500,-700.0,40,0.7134337417495055,0.0001004373546042,0.0001856213476877,1.143362677487864e-05,3.018558939983595e-05,0.9831379421413186,103.65000579063084
2,25000,600,-1000.0,-35,0.6468489966264359,-6.695195590100375e-05,0.000117720330067,1.2113384901021014e-05,2.075184475449232e-05,0.9567725761007576,-284.2710940921584
3,30000,400,4000.0,-30,0.7462219577846575,1.0265790582156072e-05,8.46204728711457e-06,8.538020892588026e-06,1.0230133555160468e-05,0.8577496329847608,-16.84079250340388
4,30000,400,1500.0,-30,0.8204226495814768,2.69084514314212e-05,3.934697695161805e-05,9.83563562135978e-06,1.706347158071895e-05,0.9514860208648906,-35.85760435587807
5,25000,500,-1000.0,35,0.6902610705992994,6.235965433725534e-05,0.0001084030289666,1.2137295160403755e-05,2.086751690753492e-05,0.9573600439501384,69.03112264012391
6,35000,500,-400.0,30,0.5677803838021666,0.0001206844017366,0.0002287318976072,8.984101724715954e-06,1.060718940033252e-05,0.9386466603746868,3.097422752681356
7,35000,600,1500.0,30,0.838561899365381,-4.308940942664803e-05,7.318370142525945e-05,8.748675241927883e-06,1.5877054629563413e-05,0.9624896008354946,73.11599061411012
8,25000,600,500.0,40,0.5920231604174325,-0.0001042662799632,0.0001896211199758,1.2233576232738711e-05,2.0225453427474763e-05,0.9584374430334416,68.31577891348867
9,30000,600,2000.0,40,0.7574038596140515,-4.274356778240682e-05,7.022391084193315e-05,1.0052351359263158e-05,1.742038160981814e-05,0.9568058104814668,271.3208304132537
10,31000,400,1500.0,-40,0.8220393761838357,3.4044709058636555e-05,5.355872687164263e-05,9.694932128113112e-06,1.719117512873974e-05,0.9571282230957018,-35.78820293348349
11,31000,500,-700.0,-35,0.731615483467048,-8.077219964672652e-05,0.0001477728033302,1.0053200152247112e-05,2.0028667688703123e-05,0.9686673656889468,-81.15793489440858
12,31000,400,4000.0,-40,0.7728520556998393,1.299878576390864e-05,1.3271728749259184e-05,8.704864127990331e-06,1.167627653321957e-05,0.900426430323896,-17.035533271550626
13,30000,600,400.0,35,0.5799517372116849,-0.0001047863519562,0.0001938363264991,1.0383867080039054e-05,1.8769235382747947e-05,0.9658801363106784,-7.113862766038504
14,31000,500,300.0,40,0.4823952865983019,-0.0001152514027282,0.0002150172899084,1.01171150399589e-05,1.878317808123928e-05,0.9679624720586923,-5.952666324945633
15,31000,600,700.0,35,0.7132618666479561,-0.0001029320496779,0.0001907505446367,1.000407993429813e-05,1.795355790468976e-05,0.964797186748111,21.40279285635149
16,25000,600,1500.0,40,0.6272914351690847,-5.774772504021191e-05,9.71159046349806e-05,1.1983369583613573e-05,1.966176237951567e-05,0.9519991421956288,430.4092150997766
